ADDRESS,BUILDING TYPE,DWELLING UNITS,YEAR BUILT,LOT AC,LOT SF,BUILDING SF,FAR,BASEMENT SF,GROUND FLOOR SF,HEIGHT
1836 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1908,0.1937,8437,5049,0.598435463,1249,1271,
1550 SE HOLLY ST,SINGLE FAMILY RESIDENCE,2,1912,0.1175,5120,2474,0.483203125,768,938,
1860 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,2872,0.5609375,840,984,
1936 SE MULBERRY AVE,DUPLEX,1,1923,0.1175,5120,4742,0.926171875,1600,1732,
1735 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1927,0.1175,5120,4127,0.806054688,1348,1003,
1551 SE HOLLY ST,SINGLE FAMILY RESIDENCE,1,1926,0.0882,3840,1496,0.389583333,748,748,
1963 SE LOCUST AVE # A,SINGLE FAMILY RESIDENCE,1,1957,0.1175,5120,2632,0.5140625,1316,1316,
1513 SE MAPLE AVE,DUPLEX,1,1910,0.1175,5120,3916,0.76484375,1220,1170,
2015 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1928,0.0872,3800,1794,0.472105263,500,796,
2149 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,2100,0.41015625,840,1260,
2047 SE LADD AVE,VACANT,0,,0.0588,2560,,0,,,
1560 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,2,1977,0.1175,5120,1134,0.221484375,,1134,
1922 SE HEMLOCK AVE,CONDOMINIUM,1,1956,0.0101,440,1395,3.170454545,512,883,
1563 SE HOLLY ST,SINGLE FAMILY RESIDENCE,1,1904,0.1175,5120,2646,0.516796875,800,912,
1726 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,2,1905,0.1469,6400,6118,0.9559375,1296,1662,
1643 SE HOLLY ST,SINGLE FAMILY RESIDENCE,1,1910,0.1175,5120,3456,0.675,988,1028,
1519 SE 16TH AVE,SINGLE FAMILY RESIDENCE,13,1922,0.0826,3600,2390,0.663888889,780,830,
1743 SE MAPLE AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1175,5120,3300,0.64453125,896,1061,
2203 SE ORANGE AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2777,0.542382813,725,1452,
2003 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1926,0.1165,5074,3177,0.626133228,1227,1227,
2433 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1926,0.2351,10240,4598,0.449023438,1059,2039,
2035 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1175,5120,3577,0.698632813,1287,1407,
1638 SE LADD AVE,SINGLE FAMILY RESIDENCE,2,1927,0.1175,5120,2318,0.452734375,440,1138,
2028 SE SPRUCE AVE,SINGLE FAMILY RESIDENCE,1,1953,0.1175,5120,704,0.1375,,704,
1637 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1469,6400,2170,0.3390625,640,948,
1851 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1928,0.1175,5120,3846,0.751171875,1124,1645,
1929 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1924,0.077,3354,1780,0.5307096,520,960,
2004 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1165,5074,2696,0.531336224,780,1304,
1706 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,2,1944,0.1293,5632,2888,0.512784091,588,1292,
